uin, cohort_sem, cohort_year
933008348,Spring,2025, 
330004874,Spring,2025
735000020,Spring,2025
135007001,Spring,2025
333005208,Spring,2025
533005101,Spring,2025
632004664,Spring,2025
135006816,Spring,2025
733006513,Spring,2025
533004242,Spring,2025
833009262,Spring,2025
435004841,Spring,2025
833009253,Spring,2025
633008530,Spring,2025
135006890,Spring,2025
633007968,Spring,2025
934001678,Spring,2025
236000556,Spring,2025
234001707,Spring,2025
934000530,Spring,2025
135004276,Spring,2025
732007799,Spring,2025
