uin,cohort_sem,cohort_year
103002607,Spring,2022
130008449,Spring,2022
130009131,Spring,2022
131002092,Spring,2022
131009135,Spring,2022
131009522,Spring,2022
132001696,Spring,2022
228007288,Spring,2022
231007053,Spring,2022
331000342,Spring,2022
331000350,Spring,2022
428002625,Spring,2022
431005196,Spring,2022
431006775,Spring,2022
523001993,Spring,2022
530008302,Spring,2022
531000088,Spring,2022
531001656,Spring,2022
630002558,Spring,2022
631003709,Spring,2022
728006263,Spring,2022
830004069,Spring,2022
831003428,Spring,2022
928006628,Spring,2022
930005079,Spring,2022
931005598,Spring,2022
931005660,Spring,2022
830007169,Fall,2022
231004778,Fall,2022
530009875,Fall,2022
930009024,Fall,2022
731003731,Fall,2022
831004349,Fall,2022
731001102,Fall,2022
630005580,Fall,2022
231009998,Fall,2022
830001383,Fall,2022
331001741,Fall,2022
130007635,Fall,2022
330001482,Fall,2022
130006563,Fall,2022
631001158,Fall,2022
931008529,Fall,2022
831001971,Fall,2022
731001216,Fall,2022
630000555,Fall,2022
631003980,Fall,2022
529009086,Fall,2022
513002104,Fall,2022
632009369,Spring,2023
832004511,Spring,2023
431009542,Spring,2023
531001089,Spring,2023
832004420,Spring,2023
131008085,Spring,2023
632007732,Spring,2023
632004478,Spring,2023
332002798,Spring,2023
731006568,Spring,2023
831006403,Spring,2023
331002843,Spring,2023
832004717,Spring,2023
932005958,Spring,2023
831003368,Spring,2023
133000388,Spring,2023
931005447,Spring,2023
730001749,Spring,2023
731000222,Spring,2023
731001284,Spring,2023
831004901,Spring,2023
432005865,Spring,2023
530009950,Spring,2023
730009928,Spring,2023
233000573,Fall,2023
731001854,Fall,2023
432006406,Fall,2023
831006116,Fall,2023
931004493,Fall,2023
332002017,Fall,2023
530009955,Fall,2023
133002785,Fall,2023
732002919,Fall,2023
632003130,Fall,2023
931008194,Fall,2023
132009655,Fall,2023
832004145,Fall,2023
133002867,Fall,2023
531000264,Fall,2023
330000951,Fall,2023
131009765,Fall,2023
832004772,Fall,2023
831004858,Fall,2023
833000174,Fall,2023
332004984,Fall,2023
931004533,Fall,2023
232007203,Fall,2023
931006659,Fall,2023
232007933,Fall,2023
733006962,Spring,2024
932005168,Spring,2024
134003022,Spring,2024
333006697,Spring,2024
432006077,Spring,2024
733006512,Spring,2024
332000245,Spring,2024
134004722,Spring,2024
732000821,Spring,2024
533004907,Spring,2024
332001114,Spring,2024
733003669,Spring,2024
333008244,Spring,2024
333006471,Spring,2024
134003421,Spring,2024
532000817,Spring,2024
533004176,Spring,2024
333003212,Spring,2024
633008678,Spring,2024
733006228,Spring,2024
732000810,Spring,2024
234004394,Spring,2024
931008878,Spring,2024
433009831,Spring,2024
533002108,Spring,2024
233009845,Spring,2024
433008923,Spring,2024
233002304,Spring,2024
732003279,Spring,2024
732006202,Spring,2024
232007873,Spring,2024
732003294,Spring,2024
432005898,Spring,2024
132001518,Spring,2024
234001799,Spring,2024
332002732,Spring,2024
733005474,Fall,2024
134003836,Fall,2024
232006757,Fall,2024
534000202,Fall,2024
333006657,Fall,2024
934001379,Fall,2024
833008638,Fall,2024
934001130,Fall,2024
533005538,Fall,2024
234000041,Fall,2024
234002369,Fall,2024
732007091,Fall,2024
732007083,Fall,2024
234002102,Fall,2024
330008821,Fall,2024
434003857,Fall,2024
933008348,Spring,2025
330004874,Spring,2025
735000020,Spring,2025
135007001,Spring,2025
333005208,Spring,2025
533005101,Spring,2025
632004664,Spring,2025
135006816,Spring,2025
733006513,Spring,2025
533004242,Spring,2025
833009262,Spring,2025
435004841,Spring,2025
833009253,Spring,2025
633008530,Spring,2025
135006890,Spring,2025
633007968,Spring,2025
934001678,Spring,2025
236000556,Spring,2025
234001707,Spring,2025
934000530,Spring,2025
135004276,Spring,2025
732007799,Spring,2025
