uin, cohort_sem, cohort_year
"233000573",Fall,2023
"731001854",Fall,2023
"432006406",Fall,2023
"831006116",Fall,2023
"931004493",Fall,2023
"332002017",Fall,2023
"530009955",Fall,2023
"133002785",Fall,2023
"732002919",Fall,2023
"632003130",Fall,2023
"931008194",Fall,2023
"132009655",Fall,2023
"832004145",Fall,2023
"133002867",Fall,2023
"531000264",Fall,2023
"330000951",Fall,2023
"131009765",Fall,2023
"832004772",Fall,2023
"831004858",Fall,2023
"833000174",Fall,2023
"332004984",Fall,2023
"931004533",Fall,2023
"232007203",Fall,2023
"931006659",Fall,2023
"232007933",Fall,2023
