uin, cohort_sem, cohort_year
"733006962",Spring,2024
"932005168",Spring,2024
"134003022",Spring,2024
"333006697",Spring,2024
"432006077",Spring,2024
"733006512",Spring,2024
"332000245",Spring,2024
"134004722",Spring,2024
"732000821",Spring,2024
"533004907",Spring,2024
"332001114",Spring,2024
"733003669",Spring,2024
"333008244",Spring,2024
"333006471",Spring,2024
"134003421",Spring,2024
"532000817",Spring,2024
"533004176",Spring,2024
"333003212",Spring,2024
"633008678",Spring,2024
"733006228",Spring,2024
"732000810",Spring,2024
"234004394",Spring,2024
"931008878",Spring,2024
"433009831",Spring,2024
"533002108",Spring,2024
"233009845",Spring,2024
"433008923",Spring,2024
"233002304",Spring,2024
"732003279",Spring,2024
"732006202",Spring,2024
"232007873",Spring,2024
"732003294",Spring,2024
"432005898",Spring,2024
"132001518",Spring,2024
"234001799",Spring,2024
"332002732",Spring,2024
