uin, cohort_sem, cohort_year
"632009369",Spring,2023
"832004511",Spring,2023
"431009542",Spring,2023
"531001089",Spring,2023
"832004420",Spring,2023
"131008085",Spring,2023
"632007732",Spring,2023
"632004478",Spring,2023
"332002798",Spring,2023
"731006568",Spring,2023
"831006403",Spring,2023
"331002843",Spring,2023
"832004717",Spring,2023
"932005958",Spring,2023
"831003368",Spring,2023
"133000388",Spring,2023
"931005447",Spring,2023
"730001749",Spring,2023
"731000222",Spring,2023
"731001284",Spring,2023
"831004901",Spring,2023
"432005865",Spring,2023
"530009950",Spring,2023
"730009928",Spring,2023
"233000573",Fall,2023
"731001854",Fall,2023
"432006406",Fall,2023
"831006116",Fall,2023
"931004493",Fall,2023
"332002017",Fall,2023
"530009955",Fall,2023
"133002785",Fall,2023
"732002919",Fall,2023
"632003130",Fall,2023
"931008194",Fall,2023
"132009655",Fall,2023
"832004145",Fall,2023
"133002867",Fall,2023
"531000264",Fall,2023
"330000951",Fall,2023
"131009765",Fall,2023
"832004772",Fall,2023
"831004858",Fall,2023
"833000174",Fall,2023
"332004984",Fall,2023
"931004533",Fall,2023
"232007203",Fall,2023
"931006659",Fall,2023
"232007933",Fall,2023
"733006962",Spring,2024
"932005168",Spring,2024
"134003022",Spring,2024
"333006697",Spring,2024
"432006077",Spring,2024
"733006512",Spring,2024
"332000245",Spring,2024
"134004722",Spring,2024
"732000821",Spring,2024
"533004907",Spring,2024
"332001114",Spring,2024
"733003669",Spring,2024
"333008244",Spring,2024
"333006471",Spring,2024
"134003421",Spring,2024
"532000817",Spring,2024
"533004176",Spring,2024
"333003212",Spring,2024
"633008678",Spring,2024
"733006228",Spring,2024
"732000810",Spring,2024
"234004394",Spring,2024
"931008878",Spring,2024
"433009831",Spring,2024
"533002108",Spring,2024
"233009845",Spring,2024
"433008923",Spring,2024
"233002304",Spring,2024
"732003279",Spring,2024
"732006202",Spring,2024
"232007873",Spring,2024
"732003294",Spring,2024
"432005898",Spring,2024
"132001518",Spring,2024
"234001799",Spring,2024
"332002732",Spring,2024
"232005878",Fall,2024
"234002102",Fall,2024
"333006657",Fall,2024
"134003836",Fall,2024
"833008638",Fall,2024
"733005474",Fall,2024
"934001379",Fall,2024
"732007083",Fall,2024
"232006757",Fall,2024
"234000041",Fall,2024
"533005538",Fall,2024
"534000202",Fall,2024
"732007091",Fall,2024
"330008821",Fall,2024
"934001130",Fall,2024
"434003857",Fall,2024
"933008348",Spring,2025, 
"330004874",Spring,2025
"735000020",Spring,2025
"135007001",Spring,2025
"333005208",Spring,2025
"533005101",Spring,2025
"632004664",Spring,2025
"135006816",Spring,2025
"733006513",Spring,2025
"533004242",Spring,2025
"833009262",Spring,2025
"435004841",Spring,2025
"833009253",Spring,2025
"633008530",Spring,2025
"135006890",Spring,2025
"633007968",Spring,2025
"934001678",Spring,2025
"236000556",Spring,2025
"234001707",Spring,2025
"934000530",Spring,2025
"135004276",Spring,2025
"732007799",Spring,2025
